GEO_ID,NAME,S1401_C01_001E
13001,"Appling County, Georgia",4427
13003,"Atkinson County, Georgia",1983
13005,"Bacon County, Georgia",2281
13007,"Baker County, Georgia",588
13009,"Baldwin County, Georgia",13545
13011,"Banks County, Georgia",4227
13013,"Barrow County, Georgia",21043
13015,"Bartow County, Georgia",24295
13017,"Ben Hill County, Georgia",3867
13019,"Berrien County, Georgia",4113
13021,"Bibb County, Georgia",40122
13023,"Bleckley County, Georgia",3405
13025,"Brantley County, Georgia",4112
13027,"Brooks County, Georgia",3294
13029,"Bryan County, Georgia",12137
13031,"Bulloch County, Georgia",28774
13033,"Burke County, Georgia",5823
13035,"Butts County, Georgia",4806
13037,"Calhoun County, Georgia",1359
13039,"Camden County, Georgia",13082
13043,"Candler County, Georgia",2803
13045,"Carroll County, Georgia",32871
13047,"Catoosa County, Georgia",15824
13049,"Charlton County, Georgia",2978
13051,"Chatham County, Georgia",76926
13053,"Chattahoochee County, Georgia",2320
13055,"Chattooga County, Georgia",5241
13057,"Cherokee County, Georgia",65592
13059,"Clarke County, Georgia",49915
13061,"Clay County, Georgia",711
13063,"Clayton County, Georgia",82912
13065,"Clinch County, Georgia",1680
13067,"Cobb County, Georgia",201138
13069,"Coffee County, Georgia",10294
13071,"Colquitt County, Georgia",11293
13073,"Columbia County, Georgia",41617
13075,"Cook County, Georgia",4139
13077,"Coweta County, Georgia",36233
13079,"Crawford County, Georgia",2539
13081,"Crisp County, Georgia",5638
13083,"Dade County, Georgia",3919
13085,"Dawson County, Georgia",5021
13087,"Decatur County, Georgia",5739
13089,"DeKalb County, Georgia",195443
13091,"Dodge County, Georgia",4016
13093,"Dooly County, Georgia",2702
13095,"Dougherty County, Georgia",26195
13097,"Douglas County, Georgia",41421
13099,"Early County, Georgia",2357
13101,"Echols County, Georgia",863
13103,"Effingham County, Georgia",16043
13105,"Elbert County, Georgia",4234
13107,"Emanuel County, Georgia",5099
13109,"Evans County, Georgia",2726
13111,"Fannin County, Georgia",4228
13113,"Fayette County, Georgia",30412
13115,"Floyd County, Georgia",24112
13117,"Forsyth County, Georgia",67646
13119,"Franklin County, Georgia",5191
13121,"Fulton County, Georgia",274762
13123,"Gilmer County, Georgia",5482
13125,"Glascock County, Georgia",776
13127,"Glynn County, Georgia",19262
13129,"Gordon County, Georgia",12876
13131,"Grady County, Georgia",6733
13133,"Greene County, Georgia",3280
13135,"Gwinnett County, Georgia",267514
13137,"Habersham County, Georgia",11011
13139,"Hall County, Georgia",50271
13141,"Hancock County, Georgia",910
13143,"Haralson County, Georgia",7141
13145,"Harris County, Georgia",8067
13147,"Hart County, Georgia",5921
13149,"Heard County, Georgia",2673
13151,"Henry County, Georgia",62961
13153,"Houston County, Georgia",43827
13155,"Irwin County, Georgia",2043
13157,"Jackson County, Georgia",17836
13159,"Jasper County, Georgia",3054
13161,"Jeff Davis County, Georgia",3763
13163,"Jefferson County, Georgia",3618
13165,"Jenkins County, Georgia",1754
13167,"Johnson County, Georgia",1601
13169,"Jones County, Georgia",6943
13171,"Lamar County, Georgia",5290
13173,"Lanier County, Georgia",2368
13175,"Laurens County, Georgia",11002
13177,"Lee County, Georgia",8782
13179,"Liberty County, Georgia",16637
13181,"Lincoln County, Georgia",1561
13183,"Long County, Georgia",4756
13185,"Lowndes County, Georgia",34552
13187,"Lumpkin County, Georgia",9473
13189,"McDuffie County, Georgia",4701
13191,"McIntosh County, Georgia",2523
13193,"Macon County, Georgia",2721
13195,"Madison County, Georgia",6375
13197,"Marion County, Georgia",1899
13199,"Meriwether County, Georgia",4396
13201,"Miller County, Georgia",1136
13205,"Mitchell County, Georgia",4905
13207,"Monroe County, Georgia",6024
13209,"Montgomery County, Georgia",2351
13211,"Morgan County, Georgia",4119
13213,"Murray County, Georgia",9337
13215,"Muscogee County, Georgia",53742
13217,"Newton County, Georgia",30072
13219,"Oconee County, Georgia",11123
13221,"Oglethorpe County, Georgia",3410
13223,"Paulding County, Georgia",43806
13225,"Peach County, Georgia",8424
13227,"Pickens County, Georgia",6379
13229,"Pierce County, Georgia",4092
13231,"Pike County, Georgia",4537
13233,"Polk County, Georgia",9553
13235,"Pulaski County, Georgia",2314
13237,"Putnam County, Georgia",4246
13239,"Quitman County, Georgia",337
13241,"Rabun County, Georgia",2851
13243,"Randolph County, Georgia",1948
13245,"Richmond County, Georgia",49621
13247,"Rockdale County, Georgia",24499
13249,"Schley County, Georgia",1465
13251,"Screven County, Georgia",2981
13253,"Seminole County, Georgia",1599
13255,"Spalding County, Georgia",14478
13257,"Stephens County, Georgia",6099
13259,"Stewart County, Georgia",872
13261,"Sumter County, Georgia",8688
13263,"Talbot County, Georgia",1185
13265,"Taliaferro County, Georgia",181
13267,"Tattnall County, Georgia",5577
13269,"Taylor County, Georgia",1517
13271,"Telfair County, Georgia",2565
13273,"Terrell County, Georgia",2168
13275,"Thomas County, Georgia",10865
13277,"Tift County, Georgia",11048
13279,"Toombs County, Georgia",7073
13281,"Towns County, Georgia",2242
13283,"Treutlen County, Georgia",1678
13285,"Troup County, Georgia",17267
13287,"Turner County, Georgia",1683
13289,"Twiggs County, Georgia",1557
13291,"Union County, Georgia",3571
13293,"Upson County, Georgia",5826
13295,"Walker County, Georgia",15268
13297,"Walton County, Georgia",23248
13299,"Ware County, Georgia",7666
13301,"Warren County, Georgia",948
13303,"Washington County, Georgia",4644
13305,"Wayne County, Georgia",7119
13307,"Webster County, Georgia",662
13309,"Wheeler County, Georgia",1609
13311,"White County, Georgia",6053
13313,"Whitfield County, Georgia",26538
13315,"Wilcox County, Georgia",1653
13317,"Wilkes County, Georgia",2218
