_OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,PUIsTotal
1,1,21,41,GILCHRIST,Gilchrist,2194
2,2,54,107,PUTNAM,Putnam,9639
3,3,62,123,TAYLOR,Taylor,4082
4,4,46,91,OKALOOSA,Okaloosa,28553
5,5,7,13,CALHOUN,Calhoun,2610
6,6,50,99,PALM BEACH,Palm Beach,185874
7,7,56,111,ST. LUCIE,St. Lucie,34854
8,8,51,101,PASCO,Pasco,50112
9,9,20,39,GADSDEN,Gadsden,8394
10,10,37,73,LEON,Leon,42707
11,11,33,65,JEFFERSON,Jefferson,2308
12,12,40,79,MADISON,Madison,3465
13,13,39,77,LIBERTY,Liberty,3257
14,14,24,47,HAMILTON,Hamilton,3459
15,15,3,5,BAY,Bay,21589
16,16,12,23,COLUMBIA,Columbia,11215
17,17,2,3,BAKER,Baker,4920
18,18,30,59,HOLMES,Holmes,3381
19,19,43,85,MARTIN,Martin,18418
20,20,29,57,HILLSBOROUGH,Hillsborough,164620
21,21,41,81,MANATEE,Manatee,45471
22,22,10,19,CLAY,Clay,26115
23,23,25,49,HARDEE,Hardee,4460
24,24,42,83,MARION,Marion,46121
25,25,64,127,VOLUSIA,Volusia,55106
26,26,15,29,DIXIE,Dixie,2395
27,27,35,69,LAKE,Lake,39365
28,28,38,75,LEVY,Levy,5040
29,29,60,119,SUMTER,Sumter,11741
30,30,59,117,SEMINOLE,Seminole,44713
31,31,48,95,ORANGE,Orange,163507
32,32,9,17,CITRUS,Citrus,15781
33,33,27,53,HERNANDO,Hernando,17105
34,34,52,103,PINELLAS,Pinellas,96688
35,35,61,121,SUWANNEE,Suwannee,7284
36,36,16,31,DUVAL,Duval,134156
37,37,34,67,LAFAYETTE,Lafayette,1946
38,38,23,45,GULF,Gulf,2725
39,39,63,125,UNION,Union,3095
40,40,4,7,BRADFORD,Bradford,4648
41,41,65,129,WAKULLA,Wakulla,5557
42,42,5,9,BREVARD,Brevard,49451
43,43,53,105,POLK,Polk,74151
44,44,49,97,OSCEOLA,Osceola,50493
45,45,28,55,HIGHLANDS,Highlands,11497
46,46,36,71,LEE,Lee,84381
47,47,11,21,COLLIER,Collier,45064
48,48,13,25,DADE,Dade,528992
49,49,44,87,MONROE,Monroe,11176
50,50,57,113,SANTA ROSA,Santa Rosa,25090
51,51,66,131,WALTON,Walton,8859
52,52,32,63,JACKSON,Jackson,8912
53,53,67,133,WASHINGTON,Washington,3784
54,54,45,89,NASSAU,Nassau,12383
55,55,22,43,GLADES,Glades,1201
56,56,8,15,CHARLOTTE,Charlotte,15323
57,57,58,115,SARASOTA,Sarasota,42238
58,58,14,27,DESOTO,Desoto,5829
59,59,18,35,FLAGLER,Flagler,10857
60,60,26,51,HENDRY,Hendry,6969
61,61,31,61,INDIAN RIVER,Indian River,18150
62,62,6,11,BROWARD,Broward,316095
63,63,17,33,ESCAMBIA,Escambia,47131
64,64,47,93,OKEECHOBEE,Okeechobee,5535
65,65,19,37,FRANKLIN,Franklin,2137
66,66,1,1,ALACHUA,Alachua,36556
67,67,55,109,ST. JOHNS,St. Johns,35987
69,68,999,999,Unknown,Unknown,4479
70,69,998,998,A State,State,2801390
